2.703125	163.25
62.60938	164.25
122.6797	164.75
182.7031	167
242.7578	168
302.8047	168.5
362.8516	166.75
422.8906	167
482.9453	166.75
542.9844	167.25
603.0313	168
663.1016	169
723.1172	171.5
783.165813	172.25
843.215813	172.25
903.257813	174.75
963.310806	175.25
1023.355804	173
1083.389801	172
1143.434814	173.5
1203.483826	175.25
1263.528809	172.75
1323.568787	175
1383.624817	177
1443.671814	174.75
1503.709839	175.25
1563.757813	176.5
1623.803833	179
1683.851807	179.75
1743.898804	179
1803.939819	178
1863.98584	177
1924.033813	176.75
1984.071777	177.25
2044.130859	179.25
2104.174805	179.5
2164.216797	181
2224.263794	181.5
2284.308838	181.5
2344.35376	182.25
2404.39978	182.75
2464.441772	181.75
2524.490845	182
2584.539795	183
2644.571777	183.75
2704.632813	181.75
2764.664795	181.5
2824.712891	181
2884.761719	181.5
2944.801758	181.25
3004.85791	182.25
3064.889893	184.75
3124.936768	186.5
3184.99292	186.5
3245.028809	187.25
3305.077881	187
3365.115723	183.5
3425.172852	183
3485.20874	184.75
3545.260742	184.75
3605.302734	186.5
3665.351807	187
3725.392822	186.25
3785.444824	185
3845.483887	184.5
3905.529785	186.25
3965.575928	187
4025.62085	187.5
4085.661865	187.5
4145.710693	185.75
4205.75293	184.5
4265.804932	183.75
4325.85791	185
4385.890869	185.5
4445.934814	186
4505.98584	186.5
4566.035889	187.5
4626.076904	188.5
4686.123779	188.25
4746.159912	188
4806.213867	189
4866.256836	188.25
4926.311035	191.25
4986.356934	191
5046.388672	188.75
5106.43457	187.25
5166.48291	188.25
5226.530762	190.25
5286.57959	190.75
5346.618652	191
5406.666992	191.25
5466.71875	188.25
5526.755859	187
5586.802734	189.25
5646.848633	191.5
5706.895996	192.25
5766.939941	192.5
5826.98877	190
5887.036621	187.5
5947.083984	187.75
6007.129883	189.5
6067.166016	189.25
6127.208984	191.25
6187.261719	192.25
6247.312988	188.75
6307.345703	187.75
6367.39502	188.75
6427.438965	191
6487.483887	192.5
6547.532715	192.5
6607.57373	192
6667.62793	189.5
6727.675781	188.25
6787.72168	189.25
6847.762695	191.75
6907.812012	192
6967.84668	192.75
7027.896973	191.75
7087.943848	189.5
7147.98291	188.5
7208.033691	190.75
7268.075684	192.75
7328.128906	192
7388.175781	193.5
7448.22168	191
7508.266602	189
7568.312988	188.5
7628.344727	190.25
7688.399902	190.25
7748.44873	191.75
7808.489746	192.25
7868.530762	190
7928.583008	188
7988.624023	188.75
8048.671875	191.75
8108.716797	189.25
8168.755859	192
8228.804688	193
8288.849609	190.5
8348.896973	188.25
8408.947754	189.5
8468.987793	192.75
8529.029785	191.75
8589.087891	194
8649.120605	191.75
8709.175781	189.25
8769.227051	189.25
8829.262695	190.75
8889.304688	192.25
8949.353027	192.25
9009.396484	194
9069.4375	191.75
9129.485352	189.25
9189.530273	189.5
9249.583984	191.75
9309.621094	192.25
9369.673828	193
9429.72168	193.5
9489.764648	190.25
9549.810547	188.75
9609.855469	190
9669.904297	192.5
9729.954102	193.5
9789.990234	194.25
9850.039063	193
9910.077148	190.75
9970.121094	190.25
10030.17383	192.75
10090.21777	193.5
10150.25781	194.25
10210.30566	195
10270.35938	191.5
10330.39453	190.25
10390.44043	189.75
10450.49219	192
10510.54297	192.75
10570.57813	193
10630.625	193.5
10690.66992	190.5
10750.71484	189.75
10810.76563	191.25
10870.8125	194
10930.85352	194
10990.89648	195
11050.95606	194.5
11110.98438	190.5
11171.0459	189.75
11231.08008	191.25
11291.13379	192.5
11351.17871	192.75
11411.21777	194.5
11471.26367	191.5
11531.30859	190.25
11591.36133	190
11651.40918	192.25
11711.45215	191.75
11771.49219	194.5
11831.54785	193.5
11891.58008	192.5
11951.63965	189.5
12011.68164	190.25
12071.7168	192.25
12131.7627	193.75
12191.81152	194.5
12251.85938	195
12311.89941	193.25
12371.95117	190.75
12431.99023	191.5
12492.04102	193
12552.08301	194
12612.13672	194.75
12672.18164	193
12732.22656	191
12792.27246	190.75
12852.30859	192.25
12912.35254	193.5
12972.39746	194.25
13032.45508	193.5
13092.50098	190.5
13152.54492	189
13212.58691	190.5
13272.62988	192.25
13332.67871	194.25
13392.71875	194.5
13452.77148	194.75
13512.81152	190.5
13572.85938	190.25
13632.90137	191.25
13692.94922	194
13752.99023	194.75
13813.04883	194.5
13873.09375	192.75
13933.13574	190.25
13993.18555	189.25
14053.21875	191.25
14113.27148	191
14173.32129	193.25
14233.36914	193.5
14293.40527	192
14353.44922	189.25
14413.49609	189.5
14473.53809	190.5
14533.59473	191.75
14593.64063	192.25
14653.68066	194.75
14713.72168	192
14773.77539	189.75
14833.81055	190.25
14893.86133	191.75
14953.9082	192.25
15013.9541	193.5
15073.99512	193.5
15134.04395	191.25
15194.09082	189.5
15254.14063	191.25
15314.17481	192.5
15374.22949	194.25
15434.2793	195
15494.3125	191.75
15554.36523	190
15614.40137	189
15674.46094	191.5
15734.50781	193.75
15794.53906	192.75
15854.58301	194.5
15914.63281	191.5
15974.67481	189.75
16034.72949	189.5
16094.77148	192.75
16154.8125	193.25
16214.87305	194
16274.91211	195.25
16334.9541	192.25
16395.00391	189.75
16455.04883	190.25
16515.08789	192.75
16575.13965	195
16635.17578	193.5
16695.23828	193.25
16755.27051	191.25
16815.31641	190.25
16875.36426	191
16935.41797	193.5
16995.46094	194
17055.50293	194.75
17115.53906	192.75
17175.59766	190.75
17235.63086	189.5
17295.67578	191
17355.72266	193.25
17415.77734	194
17475.82422	194
17535.86523	192.5
17595.91406	189.5
17655.96484	190.25
17715.99414	192.25
