2.703125	215.25	30.25
62.62891	211.25	29.75
122.6602	212	28.75
182.7129	214.5	29.25
242.7617	218	29.75
302.8086	219.5	30
362.8496	220.75	30.25
422.9004	221	30.25
482.9395	218.25	29.75
542.9844	218.5	29.25
603.0332	220	29.25
663.0957	223	29.75
723.1328	224.5	30.25
783.1738	226	29.75
843.209	224	29.75
903.2676	223	29.5
963.3125	224.25	29.5
1023.346	226.75	29.5
1083.393	229	30.25
1143.443	229.75	30.25
1203.492	229.75	30.25
1263.543	226.5	30
1323.58	225.25	29.25
1383.623	227.25	29.5
1443.678	229.5	29.75
1503.709	233.25	30.25
1563.76	234	30
1623.811	233	30
1683.857	230.25	30
1743.895	229	29
1803.943	231	29.5
1863.988	233.25	29.75
1924.037	235.75	29.25
1984.084	237.25	30.75
2044.135	235.75	30.25
2104.174	233	29.75
2164.213	232	29.75
2224.264	235	30
2284.314	236.75	30.25
2344.361	238.75	30.5
2404.396	239.25	30.5
2464.443	235	30
2524.49	234	29.75
2584.541	234.5	29.5
2644.584	237	29
2704.631	239.25	30
2764.674	241.5	30
2824.721	242.5	30.25
2884.764	238.25	30.25
2944.807	235.5	29.5
3004.857	236.5	29.5
3064.9	239.75	29.75
3124.943	241.25	30.25
3185.002	243.75	30.5
3245.045	242.25	31
3305.076	238.5	30.25
3365.127	237.5	29.75
3425.17	238.75	30
3485.225	242	29.75
3545.256	244	30
3605.311	244.75	30.25
3665.354	243	30.75
3725.404	239.75	29.75
3785.455	238	30
3845.498	240.25	29.25
3905.533	243.5	30
3965.584	244.75	30.25
4025.623	246	30.75
4085.678	244.25	30.75
4145.721	240.5	30.25
4205.771	239.75	29.75
4265.814	240.75	29.75
4325.857	243.75	30.25
4385.9	246.75	30.5
4445.939	247	31.25
4505.99	244.75	30.75
4566.049	242.25	30.25
4626.08	241.25	29.75
4686.131	243.25	30.25
4746.182	245.25	30.25
4806.217	246.5	30.75
4866.264	248	30.5
4926.318	244.25	30
4986.35	240.25	30.5
5046.4	241.5	29.5
5106.447	243.5	29.5
5166.49	246.25	30.25
5226.537	248.5	31
5286.588	249.5	30.75
5346.635	244.75	30.75
5406.674	241.75	30.5
5466.721	242	29.75
5526.775	244.75	29.75
5586.807	247.75	30.75
5646.857	248.75	31.25
5706.904	247.75	31
5766.947	243.25	30.5
5826.998	242	30.25
5887.033	242.75	30.25
5947.076	245.75	30.25
6007.131	248.25	31.25
6067.178	249.5	31.25
6127.217	246.5	31.25
6187.268	243	30.25
6247.311	242	30
6307.361	244.75	30.5
6367.412	247.25	30.25
6427.451	248	30.5
6487.494	249.75	31.25
6547.541	246.5	31
6607.576	242.75	30.25
6667.639	242.5	30.25
6727.674	245.25	30.5
6787.721	248	30.5
6847.768	248.75	31.25
6907.818	249.25	31
6967.861	245.5	31
7027.912	243.25	30.5
7087.951	243	29.5
7148.002	245.25	30.25
7208.049	248.5	30.75
7268.084	250.75	31
7328.127	249.5	31
7388.178	244.5	30.25
7448.229	243.5	30.25
7508.268	245.5	30.25
7568.311	247	30.75
7628.357	248.5	31.25
7688.4	249.25	31
7748.447	245.25	30.75
7808.498	243.5	30.25
7868.541	243.5	30.5
7928.596	247	30
7988.639	247.5	31
8048.67	249.25	31
8108.721	248.5	31
8168.771	243.75	30.5
8228.811	244	30.5
8288.85	245.5	30.5
8348.904	247.25	30.75
8408.943	248.75	31
8468.99	250.25	31.25
8529.049	246	31
8589.088	243	30.25
8649.139	244.75	30.25
8709.186	246.25	30
8769.221	249	30.75
8829.268	250	31.25
8889.314	248.5	30.75
8949.365	244.5	31
9009.412	244	30.5
9069.443	245.75	29.75
9129.494	247.25	30.75
9189.545	250.25	31
9249.576	248.5	30.75
9309.627	245	30.75
9369.674	243.5	30.5
9429.725	244.5	30.5
9489.771	247	30.5
9549.811	248.5	31
9609.854	249.5	31
9669.904	246	30.75
9729.951	242.5	30.25
9790.002	243.5	30
9850.049	244.5	30.25
9910.08	247.5	30.75
9970.131	249	31.5
10030.18	249.25	31.25
10090.23	246	30.5
10150.28	243.25	30.25
10210.32	243.75	29.75
10270.36	245.5	30.5
10330.41	247.5	30.75
10390.46	249	31
10450.5	249.5	31
10510.53	247.25	31.25
10570.59	244.75	30.5
10630.64	243	30.25
10690.69	243.5	30.25
10750.72	246.5	30.75
10810.76	248.5	31
10870.82	249	30.75
10930.86	246.25	31.25
10990.91	244	30.75
11050.96	243.75	30.75
11111.01	245.75	30.5
11171.04	245.5	30.75
11231.09	244	30
11291.14	244	30.25
11351.19	244	30.25
11411.24	243.5	30.25
11471.27	243.25	29.5
11531.33	243.75	30.5
11591.37	245.5	30.75
11651.42	245.75	30.75
11711.46	245.75	30.25
11771.51	245.25	30.75
11831.54	245	30.75
11891.6	244	30.75
11951.65	243.75	30.75
12011.68	243	30.25
12071.73	242.75	30.25
12131.78	243	30.25
12191.83	244.5	31
12251.87	243.75	30.25
12311.91	246.25	30.5
12371.96	245.75	30.5
12432	246.25	30.5
12492.05	246	30.75
12552.09	244.75	30.25
12612.15	244.25	30.5
12672.19	243	30.5
12732.27	243	30.25
12792.28	241.75	30
12852.32	243.5	30.25
12912.36	243.75	30.5
12972.42	245	30.25
13032.46	245.5	29.75
13092.51	246	30
13152.54	247.5	31
13212.6	249.5	30.75
13272.65	249.5	31.25
13332.68	246.75	30.75
13392.73	245.75	30.5
13452.78	244	30.25
13512.83	245.25	30.25
13572.87	247.5	30.25
13632.92	246.5	30.75
13692.96	245.5	30.5
13753	244	30.25
13813.06	245	30.25
13873.09	244.75	30.25
13933.15	243.75	30
